Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time
EUR-DSC,OIS-1Y,OG-Ticker,EUSWE1 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y
EUR-DSC,OIS-3Y,OG-Ticker,EUSWE3 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y
EUR-DSC,OIS-5Y,OG-Ticker,EUSWE5 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y
EUR-DSC,OIS-10Y,OG-Ticker,EUSWE10 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10Y
EUR-DSC,OIS-15Y,OG-Ticker,EUSWE15 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,15Y
EUR-DSC,OIS-20Y,OG-Ticker,EUSWE20 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,20Y
EUR-DSC,OIS-30Y,OG-Ticker,EUSWE30 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30Y
EUR-DSC,OIS-50Y,OG-Ticker,EUSWE50 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,50Y
EUR-EURIBOR6M,IRS-7M,OG-Ticker,EUSWG CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,7M
EUR-EURIBOR6M,IRS-8M,OG-Ticker,EUSWH CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,8M
EUR-EURIBOR6M,IRS-9M,OG-Ticker,EUSWI CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,9M
EUR-EURIBOR6M,IRS-10M,OG-Ticker,EUSWJ CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,10M
EUR-EURIBOR6M,IRS-11M,OG-Ticker,EUSWK CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,11M
EUR-EURIBOR6M,IRS-1Y,OG-Ticker,EUSA1 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,1Y
EUR-EURIBOR6M,IRS-18M,OG-Ticker,EUSA1F CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,18M
EUR-EURIBOR6M,IRS-2Y,OG-Ticker,EUSA2 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,2Y
