Group Name,Curve Type,Reference,Curve Name
EUR-DSCONOIS-L6IRS,Discount,EUR,EUR-DSCON-OIS
EUR-DSCONOIS-L6IRS,Forward,EUR-EONIA,EUR-DSCON-OIS
EUR-DSCONOIS-L6IRS,Forward,EUR-EURIBOR-6M,EUR-EURIBOR6M-IRS

