Group Name,Curve Type,Reference,Curve Name
EUR-DSCONOIS-EURIBOR3MBS-EURIBOR6MIRS,Discount,EUR,EUR-DSCON-OIS
EUR-DSCONOIS-EURIBOR3MBS-EURIBOR6MIRS,Forward,EUR-EURIBOR-6M,EUR-EURIBOR6M-IRS
EUR-DSCONOIS-EURIBOR3MBS-EURIBOR6MIRS,Forward,EUR-EONIA,EUR-DSCON-OIS
