Id,Strata Trade Type,Id Scheme,Trade Date,Start Date,End Date,Convention,Buy Sell,Notional,Fixed Rate,Price,PV,Quantity
IRS_LCH_BAR_124,Swap,OG,2017-11-21,2017-11-21,2027-11-23,EUR-FIXED-1Y-EURIBOR-6M,Sell,43200000,0.815,109.40610423,3523566.53,1
IRS_LCH_BAR_127,Swap,OG,2017-11-23,2017-11-23,2027-11-27,EUR-FIXED-1Y-EURIBOR-6M,Sell,6.5e+07,0.814,109.414894894,5304704.45000001,1
IRS_LCH_BAR_128,Swap,OG,2017-11-23,2017-11-23,2027-11-27,EUR-FIXED-1Y-EURIBOR-6M,Sell,42500000,0.8125,109.40354949,3463638.8,1
IRS_LCH_BAR_131,Swap,OG,2017-11-24,2017-11-24,2032-11-28,EUR-FIXED-1Y-EURIBOR-6M,Buy,-4e+07,1.2175,118.294405431,-6586336.59,1
IRS_LCH_BAR_132,Swap,OG,2017-11-24,2017-11-24,2042-11-28,EUR-FIXED-1Y-EURIBOR-6M,Sell,2e+07,1.47,134.512301765,6395354.78,1
IRS_LCH_BAR_134,Swap,OG,2017-12-04,2017-12-04,2027-12-06,EUR-FIXED-1Y-EURIBOR-6M,Sell,32700000,0.799,109.320158461,2640197.01,1
IRS_LCH_BAR_135,Swap,OG,2017-12-04,2017-12-04,2027-12-06,EUR-FIXED-1Y-EURIBOR-6M,Sell,32800000,0.8,109.327742145,2650758.45,1
IRS_LCH_BAR_136,Swap,OG,2017-12-05,2017-12-05,2027-12-07,EUR-FIXED-1Y-EURIBOR-6M,Sell,65600000,0.797,109.307648993,5287989.73,1
IRS_LCH_BAR_137,Swap,OG,2017-12-06,2017-12-06,2027-12-08,EUR-FIXED-1Y-EURIBOR-6M,Sell,46600000,0.787,109.23442414,3721931.08,1
IRS_LCH_BAR_138,Swap,OG,2017-12-06,2017-12-06,2027-12-08,EUR-FIXED-1Y-EURIBOR-6M,Sell,64300000,0.786,109.226834723,5130745.95,1
IRS_LCH_BAR_14,Swap,OG,2017-03-17,2017-03-17,2041-03-21,EUR-FIXED-1Y-EURIBOR-6M,Buy,-1e+07,1.44,131.30568719,-2897901.01,1
IRS_LCH_BAR_145,Swap,OG,2018-03-08,2018-03-08,2048-03-12,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.5e+07,1.577,146.048058984,10785792.59,1
IRS_LCH_BAR_15,Swap,OG,2017-03-17,2017-03-17,2042-03-21,EUR-FIXED-1Y-EURIBOR-6M,Sell,3.7e+07,1.4385,132.760260205,11233026.48,1
IRS_LCH_BAR_150,Swap,OG,2018-03-09,2018-03-09,2048-03-13,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.5e+07,1.593,146.504597132,10899652.61,1
IRS_LCH_BAR_152,Swap,OG,2018-03-13,2018-03-13,2048-03-15,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.7e+07,1.578,146.096596492,11662056.84,1
IRS_LCH_BAR_153,Swap,OG,2018-03-13,2018-03-13,2028-03-15,EUR-FIXED-1Y-EURIBOR-6M,Sell,7.7e+07,1.062,111.651212592,8046775.35000001,1
IRS_LCH_BAR_154,Swap,OG,2018-03-13,2018-03-13,2048-03-15,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.7e+07,1.575,146.011922952,11639194.99,1
IRS_LCH_BAR_155,Swap,OG,2018-03-22,2018-03-22,2043-03-26,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.5e+07,1.492,135.508107616,8256593.26,1
IRS_LCH_BAR_159,Swap,OG,2018-08-10,2018-08-10,2038-08-10,EUR-FIXED-1Y-EURIBOR-6M,Sell,3.4e+07,1.445,128.081776498,8824209.16,1
IRS_LCH_BAR_16,Swap,OG,2017-03-20,2017-03-20,2037-03-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,7.7e+07,1.369,125.053488799,17744485.92,1
IRS_LCH_BAR_160,Swap,OG,2018-08-10,2018-08-10,2043-08-10,EUR-FIXED-1Y-EURIBOR-6M,Sell,3.7e+07,1.495,136.151625318,12450570.26,1
IRS_LCH_BAR_166,Swap,OG,2018-09-25,2018-09-25,2038-09-27,EUR-FIXED-1Y-EURIBOR-6M,Sell,11800000,1.5251,129.73592591,3255657.05,1
IRS_LCH_BAR_167,Swap,OG,2018-09-25,2018-09-25,2038-09-27,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.3e+07,1.528,129.790027286,6358215.53,1
IRS_LCH_BAR_168,Swap,OG,2018-11-20,2018-11-20,2028-11-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,1.1e+07,0.923,111.271096193,1086033.75,1
IRS_LCH_BAR_169,Swap,OG,2018-11-20,2018-11-20,2028-11-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,15625000,0.919,111.236787946,1537300.91,1
IRS_LCH_BAR_17,Swap,OG,2017-03-20,2017-03-20,2047-03-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,3.8e+07,1.454,140.923131422,14481911.19,1
IRS_LCH_BAR_170,Swap,OG,2018-11-21,2018-11-21,2028-11-23,EUR-FIXED-1Y-EURIBOR-6M,Sell,19531300,0.9295,111.329656146,1940107.86,1
IRS_LCH_BAR_171,Swap,OG,2018-11-21,2018-11-21,2048-11-23,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.5e+07,1.489,144.787076918,10427694.89,1
IRS_LCH_BAR_172,Swap,OG,2018-11-21,2018-11-21,2028-11-23,EUR-FIXED-1Y-EURIBOR-6M,Sell,19843800,0.925,111.291046491,1963487.88,1
IRS_LCH_BAR_173,Swap,OG,2018-11-21,2018-11-21,2048-11-23,EUR-FIXED-1Y-EURIBOR-6M,Sell,2.3e+07,1.4905,144.830461212,9603457.69,1
IRS_LCH_BAR_176,Swap,OG,2018-11-26,2018-11-26,2038-11-28,EUR-FIXED-1Y-EURIBOR-6M,Sell,29400000,1.415,127.886552461,7542147.28,1
IRS_LCH_BAR_178,Swap,OG,2019-11-30,2019-11-30,2023-11-28,EUR-FIXED-1Y-EURIBOR-6M,Buy,-7.4e+07,0.307,102.948501449,-1704381.33999999,1
IRS_LCH_BAR_179,Swap,OG,2018-11-26,2018-11-26,2038-11-28,EUR-FIXED-1Y-EURIBOR-6M,Sell,20600000,1.417,127.924212408,5292391.76,1
IRS_LCH_BAR_18,Swap,OG,2017-03-20,2017-03-20,2032-03-22,EUR-FIXED-1Y-EURIBOR-6M,Sell,6e+06,1.217,117.601514565,954372.25,1
IRS_LCH_BAR_180,Swap,OG,2018-11-27,2018-11-27,2025-11-29,EUR-FIXED-1Y-EURIBOR-6M,Buy,-56700000,0.573,105.880073731,-2805653.93,1
IRS_LCH_BAR_181,Swap,OG,2018-11-27,2018-11-27,2025-11-29,EUR-FIXED-1Y-EURIBOR-6M,Buy,-39300000,0.5695,105.86083158,-1937097.43,1
IRS_LCH_BAR_182,Swap,OG,2018-11-27,2018-11-27,2023-11-29,EUR-FIXED-1Y-EURIBOR-6M,Buy,-4e+06,0.299,102.923007041,-91444.3199999998,1
IRS_LCH_BAR_183,Swap,OG,2018-11-28,2018-11-28,2038-11-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,14850000,1.418,127.946349819,3819765.97,1
IRS_LCH_BAR_184,Swap,OG,2018-11-28,2018-11-28,2038-11-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,9900000,1.4152,127.893618028,2541290.2,1
IRS_LCH_BAR_185,Swap,OG,2018-11-28,2018-11-28,2038-11-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,9900000,1.4172,127.931283593,2545019.1,1
IRS_LCH_BAR_186,Swap,OG,2018-11-28,2018-11-28,2038-11-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,9900000,1.4161,127.910567532,2542968.21,1
IRS_LCH_BAR_187,Swap,OG,2018-11-28,2018-11-28,2038-11-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,3450000,1.417,127.927517036,886770.65,1
IRS_LCH_BAR_188,Swap,OG,2019-11-30,2019-11-30,2038-11-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,42300000,1.422,128.021680948,10912410.56,1
IRS_LCH_BAR_19,Swap,OG,2017-03-21,2017-03-21,2027-03-23,EUR-FIXED-1Y-EURIBOR-6M,Sell,3e+07,0.886,109.199676933,2440422.42,1
IRS_LCH_BAR_190,Swap,OG,2018-11-28,2018-11-28,2038-11-30,EUR-FIXED-1Y-EURIBOR-6M,Sell,14100000,1.4245,128.068762904,3644108.74,1
IRS_LCH_BAR_191,Swap,OG,2018-11-29,2018-11-29,2038-12-03,EUR-FIXED-1Y-EURIBOR-6M,Sell,14100000,1.4033,127.679312932,3589699.54,1
