"","INTERFACENAAM","BEDRIJFSONDERDEEL","RAPPORTAGEJAAR","RAPPORTAGEMAAND","CALCULATIEDATUM","VERSIENUMMER","SECURITY_ID","SECURITY_TYPE","S2_SCR_TYPE","CIC_CODE","SECTOR_LEVEL_2","SECTOR_LEVEL_3","SECTOR_LEVEL_4","ISIN","SECURITY_NAME","ISSUER_NAME","ISSUER_ID","COUNTRY","COUNTRY_OF_RISK","EEA","OECD","PORTFOLIO_GROUP","PORTEFEUILLE","IFRS_ACCOUNT","IFRS_BEDRIJFSNUMMER","IFRS_INTENT","COLLATERAL_POOL_ID","FONDS_CODE_IC_LENING_TEGENPARTIJ","FONDS_CODE_GEHEDGEDE_SECURITY","DOEL_HEDGE","FAIR_VALUE_EUR","OPG_RENTE_EUR","KP_OORSP_EUR","AMORT_COST_EUR","BOEKWAARDE","IMPAIRMENT","IMPAIRMENT_CORRECTIE","VALUTA","WISSELKOERS","AANTAL","KOERS","POOL_FACTOR","DEELNEMINGSFACTOR","NOMINAAL_EUR","SPAARGELDEN_BIJ_LENINGDEEL","SPAARGELDEN","COUPON_TYPE","REDEMPTION_TYPE","PREV_COUPON_DATE","NEXT_COUPON_DATE","NEXT_INTEREST_RESET_DATE","MATURITY_DATE","COUPON","COUPON_FREQUENTIE","BB_TICKER_ONDERLIGGENDE_RATE","SPREAD_OVER_ONDERLIGGENDE","WAL","PREPAYMENT_RATE","ORIGINELE_SPREAD","YIELD_TO_MATURITY","LEG","EXPIRY_DATE","TENOR","IMPLIED_VOL","STRIKE","WAARDE_ONDERLIGGENDE","BB_TICKER_ONDERLIGGENDE","SUB_INDELING_RISK","MODIFIED_DURATION_YTM","MACAULAY_DURATION_YTM","CONVEXITY_YTM","SCR_RENTE_DOWN","SCR_RENTE_UP","OVERHEIDSGEGARANDEERD","VRIJGESTELD","SPREAD_DURATION","GEM_SNP_RATING","GEM_MOODYS_RATING","GEM_FITCH_RATING","SCR_SPREAD","RISK_ULTIMATE_PARENT","SENIORITY","QUOTED","STRATEGIC_PARTICIPATION","SCR_AANDELEN","AANTAL_MAANDEN_ACHTERSTAND","WAARDE_ONDERPAND","NHG","LENINGNUMMER","LENINGDEELNUMMER","STARTDATUM_LENING","INITIELE_HOOFSOM","POSTCODE_ONDERPAND","TAXATIEDATUM_ONDERPAND","INKOMEN_HYPOTHEEKNEMER","PROGRAMMA_CODE","RATING_2ND_BEST","S2_CATEGORIE","INSTRUMENT_TYPE","ECB_LABEL","ISSUEDATE","COUPONTERMLENGTH","COUPONTERMUNIT","FIRSTCOUPONFROM","JUR_CON_COUNTERPARTY","TYPE_ZEKERHEID_COUNTERPARTY","JUR_CON_CUSTODIAN","GROEP_NAAM","GROEP","RATING_2ND_BEST_GROEP","CALL_DATE","NMR_RUN","DAT_REG_GSA","dir"
"22284","Assets","Securities",2015,9,20150930,1,"SWAPTION_GS03","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_GS03_PAY_3.69_2021.06.21_2041.06.23","Goldman Sachs International","GOLDMAN SACH OTC","GB","US",1,1,"REAL EIGEN","REALBULEVP","09110000",5030,"FVPL","GSI_OTC_REAAL",NA,NA,1,635848.88,0,2613000,0,635848.88,0,0,"EUR",1,1,2.5433955,1,NA,2.5e+07,NA,NA,NA,NA,NA,NA,20210621,20210621,0,1,NA,0,0,NA,999,0,0,20210621,20.02,28.6680915,3.69,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"Goldman Sachs Group Inc/The","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20210623,NA,NA,NA,"Goldman Sachs Group Inc/The","BBG001FNXYJ9","A-",NA,996,"2015-10-09 13:22:30","PAY"
"30088","Assets","Securities",2015,9,20150930,1,"SWAPTION_HSBC28","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_HSBC28_Payer_3.5_20350828","HSBC Bank Plc","HSBC BANK OTC","GB","GB",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","HSBC_OTC_REAAL",NA,NA,2,1940791.28,0,1860000,0,1940791.28,0,0,"EUR",1,1,3.8815826,1,NA,5e+07,NA,NA,NA,NA,NA,NA,20350828,20350828,0,1,NA,0,0,NA,999,0,0,20350828,10.01,31.6919406,3.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"HSBC Holdings PLC","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20350830,NA,NA,NA,"HSBC Holdings PLC","BBG001FW5RD1","A+",NA,996,"2015-10-09 13:22:30","PAY"
"30089","Assets","Securities",2015,9,20150930,1,"SWAPTION_HSBC30","SWAPTION",0,"XTB6","NONE","NONE","NONE",NA,"SWAPTION_HSBC30_Payer_3.5_20170303","HSBC Bank Plc","HSBC BANK OTC","GB","GB",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","HSBC_OTC_REAAL",NA,NA,2,249548.79,0,425000,0,249548.79,0,0,"EUR",1,1,0.0998195,1,NA,2.5e+08,NA,NA,NA,NA,NA,NA,20170303,20170303,0,1,NA,0,0,NA,999,0,0,20170303,10.02,44.2118241,3.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"HSBC Holdings PLC","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20170307,NA,NA,NA,"HSBC Holdings PLC","BBG001FW5RD1","A+",NA,996,"2015-10-09 13:22:30","PAY"
"30090","Assets","Securities",2015,9,20150930,1,"SWAPTION_HSBC32","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_HSBC32_Payer_3.5_20170307_20270309","HSBC Bank Plc","HSBC BANK OTC","GB","GB",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","HSBC_OTC_REAAL",NA,NA,2,254028.79,0,431250,0,254028.79,0,0,"EUR",1,1,0.1016115,1,NA,2.5e+08,NA,NA,NA,NA,NA,NA,20170307,20170307,0,1,NA,0,0,NA,999,0,0,20170307,10.01,44.1332084,3.5,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"HSBC Holdings PLC","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20170309,NA,NA,NA,"HSBC Holdings PLC","BBG001FW5RD1","A+",NA,996,"2015-10-09 13:22:30","PAY"
"30091","Assets","Securities",2015,9,20150930,1,"SWAPTION_JP08","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_JP08_PAY_3_20200602_04062030","JP Morgan Securities Plc","JP MORGAN OTC","GB","US",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","JPM_OTC_REAAL",NA,NA,1,1192481.8,0,4625000,0,1192481.8,0,0,"EUR",1,1,2.3849636,1,NA,5e+07,NA,NA,NA,NA,NA,NA,20200602,20200602,0,1,NA,0,0,NA,999,0,0,20200602,10.01,34.9397735,3,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"JPMorgan Chase & Co","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20200604,NA,NA,NA,"JPMorgan Chase & Co","BBG001FDYBX4","A",NA,996,"2015-10-09 13:22:30","PAY"
"30092","Assets","Securities",2015,9,20150930,1,"SWAPTION_JP12","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_JP12_PAY_4_2020.06.07_2030_06.10","JP Morgan Securities Plc","JP MORGAN OTC","GB","US",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","JPM_OTC_REAAL",NA,NA,1,522401.52,0,2625000,0,522401.52,0,0,"EUR",1,1,1.044803,1,NA,5e+07,NA,NA,NA,NA,NA,NA,20200607,20200607,0,1,NA,0,0,NA,999,0,0,20200607,10.01,31.7969708,4,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"JPMorgan Chase & Co","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20200610,NA,NA,NA,"JPMorgan Chase & Co","BBG001FDYBX4","A",NA,996,"2015-10-09 13:22:30","PAY"
"30093","Assets","Securities",2015,9,20150930,1,"SWAPTION_JP13","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_JP13_PAY_4_2020.06.08_2030.06.10","JP Morgan Securities Plc","JP MORGAN OTC","GB","US",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","JPM_OTC_REAAL",NA,NA,1,522677.84,0,2645000,0,522677.84,0,0,"EUR",1,1,1.0453557,1,NA,5e+07,NA,NA,NA,NA,NA,NA,20200608,20200608,0,1,NA,0,0,NA,999,0,0,20200608,10.01,31.7924235,4,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"JPMorgan Chase & Co","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20200610,NA,NA,NA,"JPMorgan Chase & Co","BBG001FDYBX4","A",NA,996,"2015-10-09 13:22:30","PAY"
"30094","Assets","Securities",2015,9,20150930,1,"SWAPTION_JP15","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_JP15_PAY_4_2020.06.10_2030.06.12","JP Morgan Securities Plc","JP MORGAN OTC","GB","US",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","JPM_OTC_REAAL",NA,NA,1,681059.4,0,3425500,0,681059.4,0,0,"EUR",1,1,1.0477837,1,NA,6.5e+07,NA,NA,NA,NA,NA,NA,20200610,20200610,0,1,NA,0,0,NA,999,0,0,20200610,10.01,31.7833146,4,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"JPMorgan Chase & Co","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20200612,NA,NA,NA,"JPMorgan Chase & Co","BBG001FDYBX4","A",NA,996,"2015-10-09 13:22:30","PAY"
"30095","Assets","Securities",2015,9,20150930,1,"SWAPTION_JP16","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_JP16_PAY_3_2020.06.21_2030.06.27","JP Morgan Securities Plc","JP MORGAN OTC","GB","US",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","JPM_OTC_REAAL",NA,NA,1,1213371.74,0,5050000,0,1213371.74,0,0,"EUR",1,1,2.4267435,1,NA,5e+07,NA,NA,NA,NA,NA,NA,20200622,20200622,0,1,NA,0,0,NA,999,0,0,20200622,10.01,34.852773,3,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"JPMorgan Chase & Co","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20200624,NA,NA,NA,"JPMorgan Chase & Co","BBG001FDYBX4","A",NA,996,"2015-10-09 13:22:30","PAY"
"30096","Assets","Securities",2015,9,20150930,1,"SWAPTION_JP19","SWAPTION",0,"XTB6","(None)","(None)","(None)",NA,"SWAPTION_JP19_PAY_4_20200622_20300624","JP Morgan Securities Plc","JP MORGAN OTC","GB","US",1,1,"REAL EIGEN","REALBUPNS","09110000",5600,"FVPL","JPM_OTC_REAAL",NA,NA,1,690528.01,0,3802500,0,690528.01,0,0,"EUR",1,1,1.0623508,1,NA,6.5e+07,NA,NA,NA,NA,NA,NA,20200622,20200622,0,1,NA,0,0,NA,999,0,0,20200622,10.01,31.7286542,4,0,"Todo","DERIVATEN",0,0,0,0,0,0,0,0,NA,NA,NA,0,"JPMorgan Chase & Co","(None)",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NR","Derivaten","Swaption","Todo",NA,12,"Months",20200624,NA,NA,NA,"JPMorgan Chase & Co","BBG001FDYBX4","A",NA,996,"2015-10-09 13:22:30","PAY"
