Id,Description,Counterparty,Settle Date,Maturity Date,Pay Ccy,Pay Notional,Fixed Rate,Current Par,NPV,NPV Pay Leg,NPV Receive Leg,PV01,Cash Flow,Accrual,EUR Discounting PV01,Bucketed Gamma PV01
1,SWP_ABN AMRO NV_20_DURATION,A,2015-06-11,2040-06-11,EUR,80000000,0.017,0.0150551686,3462334.1543629616,-83616291.32509127,87078625.47945423,-176263.5247105425,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
1,SWP_ABN AMRO NV_21_DURATION,A,2015-06-12,2020-06-12,EUR,200000000,0.006,0.0037577685,2279524.8568721414,-203383190.10164416,205662714.9585163,-100629.6000353779,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
1,SWP_ABN AMRO NV_22_DURATION,A,2015-06-12,2030-06-12,EUR,73000000,0.01635,0.0133154882,3203217.665659681,-76024623.49500136,79227841.16066104,-104403.7146980637,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
1,SWP_ABN AMRO NV_23_DURATION,A,2015-06-15,2035-06-15,EUR,50000000,0.0175,0.014756477,2541495.4253510684,-52187093.28315875,54728588.70850982,-91759.0258438375,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
1,SWP_ABN AMRO NV_24_DURATION,A,2015-06-17,2020-06-17,EUR,200000000,0.0056,0.0037846023,1845572.710348457,-203394481.72772053,205240054.438069,-100514.0718595431,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
1,SWP_ABN AMRO NV_25_DURATION,A,2015-06-17,2035-06-18,EUR,55000000,0.0159,0.0147618468,1159824.7754688784,-57404520.605744384,58564345.38121326,-99354.1501249445,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
1,SWP_ABN AMRO NV_26_DURATION,A,2015-06-17,2035-06-18,EUR,40000000,0.01584,0.0147618468,799041.6838930771,-41748742.258723184,42547783.94261626,-72214.3354857991,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
1,SWP_BARCLAYS BNK_49_DURATION,A,2015-07-01,2040-07-02,EUR,113500000,0.0165,0.015092803,3551914.3283800036,-118624437.13498281,122176351.46336281,-248434.5104433909,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
1,SWP_BARCLAYS BNK_50_DURATION,A,2015-07-01,2040-08-01,EUR,111500000,0.0165,0.0150930468,3497983.705048412,-116527201.82364559,120025185.528694,-244731.2040151687,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
1,SWP_BARCLAYS BNK_51_DURATION,A,2015-07-01,2040-08-01,EUR,111500000,0.0165,0.0150930468,3497983.705048412,-116527201.82364559,120025185.528694,-244731.2040151687,"FAIL: Invalid measure name: CashFlows. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'AccruedInterest'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]","FAIL: Measure not found in results: 'BucketedPV01'. Valid measure names: [AccruedInterest, BucketedGammaPV01, BucketedPV01, ExplainPresentValue, LegInitialNotional, LegPresentValue, PV01, ParRate, PresentValue]",
