"","Maturity","Rate","vol"
"1",0,-0.00455499104534818,0.00326569727458686
"2",0.08333,-0.00450737574030002,0.00342946704166617
"3",0.16667,-0.00446172507073017,0.00359132611783254
"4",0.25,-0.00441934894665241,0.00375129118926556
"5",0.33333,-0.00438155729448075,0.00390937881267806
"6",0.41667,-0.00434966005273418,0.00406560541625757
"7",0.5,-0.00432496716632791,0.00421998730060135
"8",0.58333,-0.00430878857940176,0.00437254063964486
"9",0.66667,-0.00430243422676035,0.0045232814815837
"10",0.75,-0.00430721402383449,0.00467222574978915
"11",0.83333,-0.00432443785527292,0.00481938924371732
"12",0.91667,-0.00435541556202335,0.0049647876398119
"13",1,-0.00439945422306787,0.00510843649240066
"14",1.08333,-0.00444862036935811,0.00525035123458566
"15",1.16667,-0.00449883196620116,0.00539054717912719
"16",1.25,-0.00454770161987428,0.00552903951932163
"17",1.33333,-0.00459284197517595,0.00566584332987305
"18",1.41667,-0.00463186571039786,0.0058009735677588
"19",1.5,-0.00466238552743281,0.00593444507308901
"20",1.58333,-0.00468201413738223,0.00606627256996008
"21",1.66667,-0.00468836424109575,0.00619647066730219
"22",1.75,-0.00467904850523437,0.00632505385972089
"23",1.83333,-0.00465167953340284,0.00645203652833274
"24",1.91667,-0.00460386983262584,0.00657743294159522
"25",2,-0.00453684582336988,0.00670125725613068
"26",2.08333,-0.00446383257485206,0.00682352351754461
"27",2.16667,-0.00438923705962857,0.00694424566123816
"28",2.25,-0.00431414137123687,0.00706343751321491
"29",2.33333,-0.00423962763003294,0.00718111279088208
"30",2.41667,-0.00416677798322196,0.00729728510384604
"31",2.5,-0.00409667460378715,0.00741196795470225
"32",2.58333,-0.00403039968850871,0.0075251747398197
"33",2.66667,-0.00396903545502614,0.00763691875011982
"34",2.75,-0.00391366413787742,0.00774721317184989
"35",2.83333,-0.00386536798357362,0.0078560710873511
"36",2.91667,-0.00382522924471029,0.00796350547582112
"37",3,-0.00379235449453219,0.0080695292140714
"38",3.08333,-0.00375949605637516,0.00817415507727908
"39",3.16667,-0.00372458568225031,0.0082773957397337
"40",3.25,-0.00368742400124189,0.00837926377557854
"41",3.33333,-0.00364781163873307,0.00847977165954691
"42",3.41667,-0.00360554921606093,0.00857893176769308
"43",3.5,-0.00356043735005018,0.00867675637811823
"44",3.58333,-0.00351227665266807,0.00877325767169123
"45",3.66667,-0.00346086773035292,0.00886844773276428
"46",3.75,-0.00340601118366513,0.00896233854988366
"47",3.83333,-0.00334750760662361,0.00905494201649537
"48",3.91667,-0.00328515758617964,0.0091462699316458
"49",4,-0.00321927896270058,0.00923633400067755
"50",4.08333,-0.00315182582382079,0.00932514583592027
"51",4.16667,-0.0030833482893593,0.00941271695737665
"52",4.25,-0.00301390033423532,0.00949905879340361
"53",4.33333,-0.00294353593444052,0.00958418268138866
"54",4.41667,-0.00287230906706037,0.00966809986842151
"55",4.5,-0.00280027371016356,0.0097508215119609
"56",4.58333,-0.00272748384302446,0.00983235868049679
"57",4.66667,-0.00265399344605122,0.00991272235420786
"58",4.75,-0.00257985650086967,0.00999192342561434
"59",4.83333,-0.00250512699026206,0.0100699727002263
"60",4.91667,-0.00242985889833891,0.0101468808971871
"61",5,-0.00235392656436773,0.0102226586499131
"62",5.08333,-0.00227664182230569,0.0102973165067274
"63",5.16667,-0.0021978142024941,0.0103708649314908
"64",5.25,-0.00211742698933071,0.0104433143042269
"65",5.33333,-0.00203546346602623,0.0105146749217437
"66",5.41667,-0.00195190691483749,0.0105849569982505
"67",5.5,-0.00186674061681025,0.0106541706659698
"68",5.58333,-0.00177994785199109,0.0107223259757465
"69",5.66667,-0.00169151189918493,0.0107894328976508
"70",5.75,-0.00160141603612685,0.0108555013215784
"71",5.83333,-0.00150964353926097,0.0109205410578457
"72",5.91667,-0.00141617768392299,0.0109845618377807
"73",6,-0.00132115772579189,0.0110475733143104
"74",6.08333,-0.00122520796703629,0.0111095850625435
