Valuation Date,Symbology,Ticker,Field Name,Value
2020-06-30,OG-Ticker,EUSA26 CURNCY,MarketValue,0.00059
2020-06-30,OG-Ticker,EUSA27 CURNCY,MarketValue,0.00053
2020-06-30,OG-Ticker,EUSA28 CURNCY,MarketValue,0.00046
2020-06-30,OG-Ticker,EUSA29 CURNCY,MarketValue,0.00039
2020-06-30,OG-Ticker,EUSA3 CURNCY,MarketValue,-0.003868
2020-06-30,OG-Ticker,EUSA30 CURNCY,MarketValue,0.00035
2020-06-30,OG-Ticker,EUSA35 CURNCY,MarketValue,-0.000108
2020-06-30,OG-Ticker,EUSA4 CURNCY,MarketValue,-0.00378
2020-06-30,OG-Ticker,EUSA40 CURNCY,MarketValue,-0.000324
2020-06-30,OG-Ticker,EUSA45 CURNCY,MarketValue,-0.000874
2020-06-30,OG-Ticker,EUSA5 CURNCY,MarketValue,-0.003496
2020-06-30,OG-Ticker,EUSA50 CURNCY,MarketValue,-0.00084
2020-06-30,OG-Ticker,EUSA55 CURNCY,MarketValue,-0.00106
2020-06-30,OG-Ticker,EUSA6 CURNCY,MarketValue,-0.003243
2020-06-30,OG-Ticker,EUSA60 CURNCY,MarketValue,-0.00145
2020-06-30,OG-Ticker,EUSA7 CURNCY,MarketValue,-0.0029
2020-06-30,OG-Ticker,EUSA8 CURNCY,MarketValue,-0.002512
2020-06-30,OG-Ticker,EUSA9 CURNCY,MarketValue,-0.002123
2020-06-30,OG-Ticker,EUSP011 CURNCY,MarketValue,0.1678
2020-06-30,OG-Ticker,EUSP0110 CURNCY,MarketValue,3.92
2020-06-30,OG-Ticker,EUSP0115 CURNCY,MarketValue,6.57
2020-06-30,OG-Ticker,EUSP012 CURNCY,MarketValue,0.385
2020-06-30,OG-Ticker,EUSP0120 CURNCY,MarketValue,9.38
2020-06-30,OG-Ticker,EUSP013 CURNCY,MarketValue,0.685
2020-06-30,OG-Ticker,EUSP0130 CURNCY,MarketValue,15.58
2020-06-30,OG-Ticker,EUSP014 CURNCY,MarketValue,1.065
2020-06-30,OG-Ticker,EUSP015 CURNCY,MarketValue,1.455
2020-06-30,OG-Ticker,EUSP016 CURNCY,MarketValue,1.92
2020-06-30,OG-Ticker,EUSP017 CURNCY,MarketValue,2.4
2020-06-30,OG-Ticker,EUSP018 CURNCY,MarketValue,2.92
2020-06-30,OG-Ticker,EUSP019 CURNCY,MarketValue,3.4
2020-06-30,OG-Ticker,EUSP021 CURNCY,MarketValue,0.3501
2020-06-30,OG-Ticker,EUSP0210 CURNCY,MarketValue,5.91
2020-06-30,OG-Ticker,EUSP0215 CURNCY,MarketValue,9.5
2020-06-30,OG-Ticker,EUSP022 CURNCY,MarketValue,0.69
2020-06-30,OG-Ticker,EUSP0220 CURNCY,MarketValue,13.3
2020-06-30,OG-Ticker,EUSP023 CURNCY,MarketValue,1.17
2020-06-30,OG-Ticker,EUSP0230 CURNCY,MarketValue,21.42
2020-06-30,OG-Ticker,EUSP024 CURNCY,MarketValue,1.75
2020-06-30,OG-Ticker,EUSP025 CURNCY,MarketValue,2.34
2020-06-30,OG-Ticker,EUSP026 CURNCY,MarketValue,3.02
2020-06-30,OG-Ticker,EUSP027 CURNCY,MarketValue,3.72
2020-06-30,OG-Ticker,EUSP028 CURNCY,MarketValue,4.47
2020-06-30,OG-Ticker,EUSP029 CURNCY,MarketValue,5.19
2020-06-30,OG-Ticker,EUSP031 CURNCY,MarketValue,0.4787
2020-06-30,OG-Ticker,EUSP0310 CURNCY,MarketValue,7.51
2020-06-30,OG-Ticker,EUSP0315 CURNCY,MarketValue,11.65
2020-06-30,OG-Ticker,EUSP032 CURNCY,MarketValue,1.0425
2020-06-30,OG-Ticker,EUSP0320 CURNCY,MarketValue,16.12
2020-06-30,OG-Ticker,EUSP033 CURNCY,MarketValue,1.69
2020-06-30,OG-Ticker,EUSP0330 CURNCY,MarketValue,25.53
2020-06-30,OG-Ticker,EUSP034 CURNCY,MarketValue,2.41
2020-06-30,OG-Ticker,EUSP035 CURNCY,MarketValue,3.14
2020-06-30,OG-Ticker,EUSP036 CURNCY,MarketValue,3.97
2020-06-30,OG-Ticker,EUSP037 CURNCY,MarketValue,4.82
2020-06-30,OG-Ticker,EUSP038 CURNCY,MarketValue,5.75
2020-06-30,OG-Ticker,EUSP039 CURNCY,MarketValue,6.64
2020-06-30,OG-Ticker,EUSP041 CURNCY,MarketValue,0.6525
2020-06-30,OG-Ticker,EUSP0410 CURNCY,MarketValue,8.87
2020-06-30,OG-Ticker,EUSP0415 CURNCY,MarketValue,13.39
2020-06-30,OG-Ticker,EUSP042 CURNCY,MarketValue,1.365
2020-06-30,OG-Ticker,EUSP0420 CURNCY,MarketValue,18.4
2020-06-30,OG-Ticker,EUSP043 CURNCY,MarketValue,2.16
2020-06-30,OG-Ticker,EUSP0430 CURNCY,MarketValue,28.72
2020-06-30,OG-Ticker,EUSP044 CURNCY,MarketValue,3.01
2020-06-30,OG-Ticker,EUSP045 CURNCY,MarketValue,3.9
2020-06-30,OG-Ticker,EUSP046 CURNCY,MarketValue,4.84
2020-06-30,OG-Ticker,EUSP047 CURNCY,MarketValue,5.81
2020-06-30,OG-Ticker,EUSP048 CURNCY,MarketValue,6.86
2020-06-30,OG-Ticker,EUSP049 CURNCY,MarketValue,7.87
2020-06-30,OG-Ticker,EUSP051 CURNCY,MarketValue,0.825
2020-06-30,OG-Ticker,EUSP0510 CURNCY,MarketValue,10.07
2020-06-30,OG-Ticker,EUSP0515 CURNCY,MarketValue,14.94
2020-06-30,OG-Ticker,EUSP052 CURNCY,MarketValue,1.665
2020-06-30,OG-Ticker,EUSP0520 CURNCY,MarketValue,20.5
2020-06-30,OG-Ticker,EUSP053 CURNCY,MarketValue,2.59
2020-06-30,OG-Ticker,EUSP0530 CURNCY,MarketValue,31.48
2020-06-30,OG-Ticker,EUSP054 CURNCY,MarketValue,3.56
2020-06-30,OG-Ticker,EUSP055 CURNCY,MarketValue,4.585
2020-06-30,OG-Ticker,EUSP056 CURNCY,MarketValue,5.64
2020-06-30,OG-Ticker,EUSP057 CURNCY,MarketValue,6.69
2020-06-30,OG-Ticker,EUSP058 CURNCY,MarketValue,7.85
2020-06-30,OG-Ticker,EUSP059 CURNCY,MarketValue,8.97
2020-06-30,OG-Ticker,EUSP071 CURNCY,MarketValue,1.11
2020-06-30,OG-Ticker,EUSP0710 CURNCY,MarketValue,12.17
2020-06-30,OG-Ticker,EUSP0715 CURNCY,MarketValue,17.72
2020-06-30,OG-Ticker,EUSP072 CURNCY,MarketValue,2.225
2020-06-30,OG-Ticker,EUSP0720 CURNCY,MarketValue,23.71
2020-06-30,OG-Ticker,EUSP073 CURNCY,MarketValue,3.39
2020-06-30,OG-Ticker,EUSP0730 CURNCY,MarketValue,34.97
2020-06-30,OG-Ticker,EUSP074 CURNCY,MarketValue,4.58
2020-06-30,OG-Ticker,EUSP075 CURNCY,MarketValue,5.81
2020-06-30,OG-Ticker,EUSP076 CURNCY,MarketValue,7.03
2020-06-30,OG-Ticker,EUSP077 CURNCY,MarketValue,8.27
2020-06-30,OG-Ticker,EUSP078 CURNCY,MarketValue,9.58
2020-06-30,OG-Ticker,EUSP079 CURNCY,MarketValue,10.88
2020-06-30,OG-Ticker,EUSP0A1 CURNCY,MarketValue,0.04
2020-06-30,OG-Ticker,EUSP0A10 CURNCY,MarketValue,0.88
