Expiry,Strike,Maturity,Waarde
3,2,7,0.7
4,2,7,0.64
5,2,7,0.58
6,2,7,0.56
7,2,7,0.58
8,2,7,0.59
9,2,7,0.59
10,2,7,0.59
11,2,7,0.6
12,2,7,0.59
13,2,7,0.59
14,2,7,0.59
15,2,7,0.58
16,2,7,0.57
17,2,7,0.53
18,2,7,0.48
19,2,7,0.44
1,3,7,0.55
2,3,7,0.59
3,3,7,0.56
4,3,7,0.54
5,3,7,0.52
6,3,7,0.53
7,3,7,0.55
8,3,7,0.56
9,3,7,0.57
10,3,7,0.58
11,3,7,0.58
12,3,7,0.58
13,3,7,0.58
14,3,7,0.58
15,3,7,0.58
16,3,7,0.57
17,3,7,0.54
18,3,7,0.51
19,3,7,0.47
1,4,7,0.44
2,4,7,0.49
3,4,7,0.49
4,4,7,0.49
5,4,7,0.5
6,4,7,0.52
7,4,7,0.54
8,4,7,0.55
9,4,7,0.56
10,4,7,0.57
11,4,7,0.57
12,4,7,0.58
13,4,7,0.58
14,4,7,0.58
15,4,7,0.57
16,4,7,0.56
17,4,7,0.54
18,4,7,0.51
19,4,7,0.49
1,5,7,0.38
2,5,7,0.43
3,5,7,0.46
4,5,7,0.48
5,5,7,0.49
6,5,7,0.52
7,5,7,0.54
8,5,7,0.55
9,5,7,0.56
10,5,7,0.56
11,5,7,0.57
12,5,7,0.57
13,5,7,0.57
14,5,7,0.57
15,5,7,0.57
16,5,7,0.56
17,5,7,0.54
18,5,7,0.52
19,5,7,0.5
1,6,7,0.46
2,6,7,0.49
3,6,7,0.5
4,6,7,0.5
5,6,7,0.5
6,6,7,0.52
7,6,7,0.54
8,6,7,0.55
9,6,7,0.56
10,6,7,0.56
11,6,7,0.57
12,6,7,0.57
13,6,7,0.57
14,6,7,0.57
15,6,7,0.57
16,6,7,0.56
17,6,7,0.54
18,6,7,0.52
19,6,7,0.51
1,7,7,0.59
2,7,7,0.61
3,7,7,0.58
4,7,7,0.55
5,7,7,0.53
6,7,7,0.54
7,7,7,0.55
8,7,7,0.56
9,7,7,0.56
10,7,7,0.56
11,7,7,0.57
12,7,7,0.57
13,7,7,0.57
14,7,7,0.57
15,7,7,0.57
16,7,7,0.56
17,7,7,0.54
18,7,7,0.53
19,7,7,0.52
1,8,7,0.84
2,8,7,0.86
3,8,7,0.77
4,8,7,0.69
5,8,7,0.62
6,8,7,0.59
7,8,7,0.59
8,8,7,0.59
9,8,7,0.58
10,8,7,0.59
11,8,7,0.59
12,8,7,0.59
13,8,7,0.59
14,8,7,0.59
15,8,7,0.58
16,8,7,0.57
17,8,7,0.55
18,8,7,0.54
19,8,7,0.53
1,9,7,1.32
2,9,7,1.33
3,9,7,1.14
4,9,7,0.99
5,9,7,0.84
6,9,7,0.73
7,9,7,0.72
8,9,7,0.7
9,9,7,0.68
10,9,7,0.67
11,9,7,0.67
12,9,7,0.66
13,9,7,0.66
14,9,7,0.65
15,9,7,0.64
16,9,7,0.63
17,9,7,0.6
18,9,7,0.59
19,9,7,0.58
1,10,7,1.76
2,10,7,1.78
3,10,7,1.49
4,10,7,1.28
5,10,7,1.05
6,10,7,0.89
7,10,7,0.87
8,10,7,0.83
9,10,7,0.79
10,10,7,0.78
11,10,7,0.77
12,10,7,0.76
13,10,7,0.75
14,10,7,0.74
15,10,7,0.72
16,10,7,0.7
17,10,7,0.68
18,10,7,0.67
19,10,7,0.64
1,11,7,2.19
2,11,7,2.2
3,11,7,1.83
4,11,7,1.56
5,11,7,1.27
6,11,7,1.05
7,11,7,1.03
8,11,7,0.97
9,11,7,0.92
10,11,7,0.9
11,11,7,0.89
12,11,7,0.87
13,11,7,0.86
14,11,7,0.84
15,11,7,0.81
16,11,7,0.79
17,11,7,0.77
18,11,7,0.76
19,11,7,0.7
1,12,7,2.6
2,12,7,2.61
3,12,7,2.16
4,12,7,1.83
5,12,7,1.47
6,12,7,1.2
7,12,7,1.18
8,12,7,1.11
9,12,7,1.04
10,12,7,1.02
11,12,7,1
12,12,7,0.98
13,12,7,0.96
14,12,7,0.95
15,12,7,0.91
16,12,7,0.88
17,12,7,0.87
18,12,7,0.86
19,12,7,0.78
1,1,8,1.08
2,1,8,1.12
3,1,8,0.97
4,1,8,0.86
5,1,8,0.73
6,1,8,0.64
7,1,8,0.63
8,1,8,0.61
9,1,8,0.59
10,1,8,0.59
11,1,8,0.58
12,1,8,0.57
13,1,8,0.57
14,1,8,0.56
15,1,8,0.52
16,1,8,0.46
17,1,8,0.4
18,1,8,0.36
19,1,8,0.31
1,2,8,0.85
2,2,8,0.9
3,2,8,0.81
4,2,8,0.74
5,2,8,0.67
6,2,8,0.63
7,2,8,0.62
8,2,8,0.62
9,2,8,0.61
10,2,8,0.61
11,2,8,0.61
12,2,8,0.6
13,2,8,0.6
14,2,8,0.6
15,2,8,0.58
16,2,8,0.56
17,2,8,0.51
18,2,8,0.46
19,2,8,0.41
1,3,8,0.64
2,3,8,0.69
3,3,8,0.66
4,3,8,0.63
5,3,8,0.6
6,3,8,0.59
7,3,8,0.59
8,3,8,0.59
9,3,8,0.59
10,3,8,0.58
11,3,8,0.58
12,3,8,0.58
13,3,8,0.58
14,3,8,0.58
15,3,8,0.57
16,3,8,0.55
17,3,8,0.52
18,3,8,0.48
19,3,8,0.45
1,4,8,0.53
2,4,8,0.58
3,4,8,0.58
4,4,8,0.58
5,4,8,0.57
6,4,8,0.57
7,4,8,0.58
8,4,8,0.57
9,4,8,0.57
10,4,8,0.57
11,4,8,0.57
12,4,8,0.57
13,4,8,0.57
14,4,8,0.57
15,4,8,0.56
16,4,8,0.55
17,4,8,0.52
18,4,8,0.49
19,4,8,0.46
1,5,8,0.47
2,5,8,0.51
3,5,8,0.54
4,5,8,0.55
5,5,8,0.55
6,5,8,0.56
7,5,8,0.56
8,5,8,0.56
9,5,8,0.57
10,5,8,0.56
11,5,8,0.57
12,5,8,0.57
13,5,8,0.57
14,5,8,0.56
15,5,8,0.55
16,5,8,0.54
17,5,8,0.52
18,5,8,0.49
19,5,8,0.47
1,6,8,0.51
2,6,8,0.54
3,6,8,0.55
4,6,8,0.55
5,6,8,0.55
6,6,8,0.56
7,6,8,0.56
8,6,8,0.56
9,6,8,0.56
10,6,8,0.56
11,6,8,0.56
12,6,8,0.56
13,6,8,0.56
14,6,8,0.56
15,6,8,0.55
16,6,8,0.54
17,6,8,0.52
18,6,8,0.5
19,6,8,0.48
1,7,8,0.63
2,7,8,0.64
3,7,8,0.61
4,7,8,0.59
5,7,8,0.57
6,7,8,0.56
7,7,8,0.57
8,7,8,0.56
9,7,8,0.56
10,7,8,0.56
11,7,8,0.56
12,7,8,0.56
13,7,8,0.56
14,7,8,0.56
15,7,8,0.55
16,7,8,0.54
17,7,8,0.52
18,7,8,0.5
19,7,8,0.48
1,8,8,0.87
2,8,8,0.88
3,8,8,0.79
4,8,8,0.72
5,8,8,0.65
6,8,8,0.61
7,8,8,0.6
8,8,8,0.59
9,8,8,0.58
10,8,8,0.58
11,8,8,0.58
12,8,8,0.58
13,8,8,0.58
14,8,8,0.58
15,8,8,0.56
16,8,8,0.55
17,8,8,0.52
18,8,8,0.51
19,8,8,0.5
1,9,8,1.34
2,9,8,1.35
3,9,8,1.16
4,9,8,1.02
5,9,8,0.86
6,9,8,0.75
7,9,8,0.72
8,9,8,0.69
9,9,8,0.66
10,9,8,0.66
11,9,8,0.66
12,9,8,0.66
13,9,8,0.66
14,9,8,0.66
15,9,8,0.64
16,9,8,0.61
17,9,8,0.57
18,9,8,0.56
19,9,8,0.54
1,10,8,1.79
2,10,8,1.79
3,10,8,1.52
4,10,8,1.31
5,10,8,1.08
6,10,8,0.91
7,10,8,0.87
8,10,8,0.82
9,10,8,0.78
10,10,8,0.77
11,10,8,0.77
12,10,8,0.77
13,10,8,0.76
14,10,8,0.76
15,10,8,0.74
16,10,8,0.71
17,10,8,0.65
18,10,8,0.62
19,10,8,0.6
1,11,8,2.21
2,11,8,2.22
3,11,8,1.86
4,11,8,1.59
5,11,8,1.3
6,11,8,1.07
7,11,8,1.02
8,11,8,0.96
9,11,8,0.9
10,11,8,0.89
11,11,8,0.88
12,11,8,0.88
13,11,8,0.88
14,11,8,0.87
15,11,8,0.85
16,11,8,0.81
17,11,8,0.74
18,11,8,0.71
19,11,8,0.66
1,12,8,2.63
2,12,8,2.63
3,12,8,2.19
4,12,8,1.86
5,12,8,1.51
6,12,8,1.23
7,12,8,1.17
8,12,8,1.09
9,12,8,1.02
10,12,8,1.01
11,12,8,1
12,12,8,1
13,12,8,0.99
14,12,8,0.99
15,12,8,0.96
16,12,8,0.91
17,12,8,0.84
18,12,8,0.79
19,12,8,0.73
1,1,9,1.21
2,1,9,1.26
3,1,9,1.09
4,1,9,0.96
5,1,9,0.82
6,1,9,0.71
7,1,9,0.68
8,1,9,0.64
9,1,9,0.61
10,1,9,0.6
11,1,9,0.59
12,1,9,0.58
13,1,9,0.57
14,1,9,0.56
15,1,9,0.52
16,1,9,0.47
17,1,9,0.39
18,1,9,0.35
19,1,9,0.29
1,2,9,0.93
2,2,9,0.99
3,2,9,0.89
4,2,9,0.82
5,2,9,0.75
6,2,9,0.69
7,2,9,0.67
8,2,9,0.65
9,2,9,0.63
10,2,9,0.62
11,2,9,0.62
12,2,9,0.62
13,2,9,0.61
14,2,9,0.61
15,2,9,0.59
16,2,9,0.55
17,2,9,0.49
18,2,9,0.44
19,2,9,0.39
1,3,9,0.72
2,3,9,0.77
3,3,9,0.73
4,3,9,0.7
5,3,9,0.66
6,3,9,0.64
7,3,9,0.63
8,3,9,0.61
9,3,9,0.6
10,3,9,0.6
11,3,9,0.59
12,3,9,0.59
13,3,9,0.59
14,3,9,0.58
15,3,9,0.57
16,3,9,0.54
17,3,9,0.5
18,3,9,0.46
19,3,9,0.43
1,4,9,0.61
2,4,9,0.66
3,4,9,0.65
4,4,9,0.64
5,4,9,0.62
6,4,9,0.61
7,4,9,0.6
8,4,9,0.59
9,4,9,0.59
10,4,9,0.58
11,4,9,0.58
12,4,9,0.58
13,4,9,0.57
14,4,9,0.57
15,4,9,0.56
16,4,9,0.54
17,4,9,0.5
18,4,9,0.47
19,4,9,0.44
1,5,9,0.53
2,5,9,0.57
3,5,9,0.59
4,5,9,0.59
5,5,9,0.59
6,5,9,0.59
7,5,9,0.59
8,5,9,0.58
9,5,9,0.57
10,5,9,0.57
11,5,9,0.57
12,5,9,0.56
13,5,9,0.56
14,5,9,0.56
15,5,9,0.55
16,5,9,0.53
17,5,9,0.5
18,5,9,0.47
19,5,9,0.45
1,6,9,0.55
2,6,9,0.58
3,6,9,0.58
4,6,9,0.58
5,6,9,0.58
6,6,9,0.58
7,6,9,0.58
8,6,9,0.57
9,6,9,0.56
10,6,9,0.56
11,6,9,0.56
12,6,9,0.56
13,6,9,0.55
14,6,9,0.55
15,6,9,0.54
16,6,9,0.53
17,6,9,0.5
18,6,9,0.48
19,6,9,0.46
1,7,9,0.65
2,7,9,0.66
3,7,9,0.63
4,7,9,0.61
5,7,9,0.59
6,7,9,0.58
7,7,9,0.57
8,7,9,0.57
9,7,9,0.56
10,7,9,0.56
11,7,9,0.56
12,7,9,0.55
13,7,9,0.55
14,7,9,0.55
15,7,9,0.54
16,7,9,0.52
17,7,9,0.5
18,7,9,0.48
19,7,9,0.46
1,8,9,0.88
2,8,9,0.89
3,8,9,0.8
4,8,9,0.72
5,8,9,0.65
6,8,9,0.62
7,8,9,0.6
8,8,9,0.59
9,8,9,0.57
10,8,9,0.57
11,8,9,0.57
12,8,9,0.57
13,8,9,0.57
14,8,9,0.57
15,8,9,0.55
16,8,9,0.54
17,8,9,0.5
18,8,9,0.49
19,8,9,0.48
1,9,9,1.35
2,9,9,1.35
3,9,9,1.16
4,9,9,1.02
5,9,9,0.87
6,9,9,0.76
7,9,9,0.72
8,9,9,0.69
9,9,9,0.65
10,9,9,0.65
11,9,9,0.66
12,9,9,0.66
13,9,9,0.66
14,9,9,0.66
15,9,9,0.64
16,9,9,0.61
17,9,9,0.55
18,9,9,0.53
19,9,9,0.51
1,10,9,1.79
2,10,9,1.79
3,10,9,1.52
4,10,9,1.31
5,10,9,1.09
6,10,9,0.93
7,10,9,0.88
8,10,9,0.82
9,10,9,0.77
10,10,9,0.77
11,10,9,0.77
12,10,9,0.78
13,10,9,0.78
14,10,9,0.79
15,10,9,0.76
16,10,9,0.71
17,10,9,0.63
18,10,9,0.61
19,10,9,0.55
1,11,9,2.21
2,11,9,2.21
3,11,9,1.86
4,11,9,1.59
5,11,9,1.31
6,11,9,1.1
7,11,9,1.03
8,11,9,0.96
9,11,9,0.89
10,11,9,0.89
11,11,9,0.9
12,11,9,0.9
13,11,9,0.91
14,11,9,0.92
15,11,9,0.88
16,11,9,0.82
17,11,9,0.72
18,11,9,0.7
19,11,9,0.59
1,12,9,2.62
2,12,9,2.62
3,12,9,2.19
4,12,9,1.87
5,12,9,1.53
6,12,9,1.27
7,12,9,1.19
8,12,9,1.1
9,12,9,1.02
10,12,9,1.02
11,12,9,1.02
12,12,9,1.03
13,12,9,1.04
14,12,9,1.05
15,12,9,1.01
16,12,9,0.94
17,12,9,0.82
18,12,9,0.8
19,12,9,0.64
1,1,10,1.24
2,1,10,1.31
3,1,10,1.14
4,1,10,1.02
5,1,10,0.88
6,1,10,0.77
7,1,10,0.73
8,1,10,0.68
9,1,10,0.64
10,1,10,0.61
11,1,10,0.58
12,1,10,0.55
13,1,10,0.52
14,1,10,0.49
15,1,10,0.47
16,1,10,0.44
17,1,10,0.4
18,1,10,0.35
19,1,10,0.31
1,2,10,0.97
2,2,10,1.04
3,2,10,0.95
4,2,10,0.88
5,2,10,0.81
6,2,10,0.74
7,2,10,0.71
8,2,10,0.69
9,2,10,0.66
10,2,10,0.64
11,2,10,0.62
12,2,10,0.6
13,2,10,0.58
14,2,10,0.56
15,2,10,0.55
16,2,10,0.52
17,2,10,0.48
18,2,10,0.44
19,2,10,0.4
1,3,10,0.75
2,3,10,0.81
3,3,10,0.78
4,3,10,0.75
5,3,10,0.71
6,3,10,0.68
7,3,10,0.66
8,3,10,0.64
9,3,10,0.62
10,3,10,0.6
11,3,10,0.59
12,3,10,0.58
13,3,10,0.57
14,3,10,0.56
15,3,10,0.54
16,3,10,0.52
17,3,10,0.49
18,3,10,0.45
19,3,10,0.42
1,4,10,0.64
2,4,10,0.7
3,4,10,0.7
4,4,10,0.68
5,4,10,0.67
6,4,10,0.64
7,4,10,0.63
8,4,10,0.61
9,4,10,0.6
10,4,10,0.59
11,4,10,0.58
12,4,10,0.57
13,4,10,0.56
14,4,10,0.55
15,4,10,0.54
16,4,10,0.52
17,4,10,0.49
18,4,10,0.46
19,4,10,0.43
1,5,10,0.56
2,5,10,0.6
3,5,10,0.63
4,5,10,0.63
5,5,10,0.63
6,5,10,0.62
7,5,10,0.6
8,5,10,0.59
9,5,10,0.58
10,5,10,0.57
11,5,10,0.57
12,5,10,0.56
13,5,10,0.56
14,5,10,0.55
15,5,10,0.54
16,5,10,0.52
17,5,10,0.49
18,5,10,0.46
19,5,10,0.43
1,6,10,0.58
2,6,10,0.6
3,6,10,0.62
4,6,10,0.61
5,6,10,0.61
6,6,10,0.6
7,6,10,0.59
8,6,10,0.57
9,6,10,0.56
10,6,10,0.56
11,6,10,0.56
12,6,10,0.55
13,6,10,0.55
14,6,10,0.55
15,6,10,0.54
16,6,10,0.52
17,6,10,0.48
18,6,10,0.46
19,6,10,0.43
1,7,10,0.67
2,7,10,0.69
3,7,10,0.66
4,7,10,0.63
5,7,10,0.61
6,7,10,0.59
7,7,10,0.58
8,7,10,0.57
9,7,10,0.56
10,7,10,0.56
11,7,10,0.55
12,7,10,0.55
13,7,10,0.55
14,7,10,0.55
15,7,10,0.54
16,7,10,0.52
17,7,10,0.49
18,7,10,0.46
19,7,10,0.44
1,8,10,0.91
2,8,10,0.92
3,8,10,0.83
4,8,10,0.75
5,8,10,0.68
6,8,10,0.63
7,8,10,0.61
8,8,10,0.6
9,8,10,0.58
10,8,10,0.57
11,8,10,0.57
12,8,10,0.57
13,8,10,0.57
14,8,10,0.57
15,8,10,0.55
16,8,10,0.53
17,8,10,0.49
18,8,10,0.47
19,8,10,0.45
1,9,10,1.38
2,9,10,1.39
3,9,10,1.21
4,9,10,1.06
5,9,10,0.9
6,9,10,0.79
7,9,10,0.76
8,9,10,0.73
9,9,10,0.7
10,9,10,0.68
11,9,10,0.67
12,9,10,0.66
13,9,10,0.64
14,9,10,0.63
15,9,10,0.61
16,9,10,0.59
17,9,10,0.54
18,9,10,0.52
19,9,10,0.5
1,10,10,1.83
2,10,10,1.84
3,10,10,1.58
4,10,10,1.36
5,10,10,1.14
6,10,10,0.98
7,10,10,0.94
8,10,10,0.89
9,10,10,0.84
10,10,10,0.82
11,10,10,0.8
12,10,10,0.78
13,10,10,0.76
14,10,10,0.74
15,10,10,0.7
16,10,10,0.67
17,10,10,0.63
18,10,10,0.59
19,10,10,0.54
1,11,10,2.26
2,11,10,2.27
3,11,10,1.93
4,11,10,1.66
5,11,10,1.38
6,11,10,1.17
7,11,10,1.11
8,11,10,1.05
9,11,10,1
10,11,10,0.96
11,11,10,0.93
12,11,10,0.91
13,11,10,0.88
14,11,10,0.86
15,11,10,0.8
16,11,10,0.76
17,11,10,0.73
18,11,10,0.68
19,11,10,0.6
1,12,10,2.68
2,12,10,2.7
3,12,10,2.28
4,12,10,1.95
5,12,10,1.61
6,12,10,1.36
7,12,10,1.29
8,12,10,1.22
9,12,10,1.15
10,12,10,1.11
11,12,10,1.07
12,12,10,1.04
13,12,10,1.01
14,12,10,0.99
15,12,10,0.9
16,12,10,0.86
17,12,10,0.84
18,12,10,0.77
19,12,10,0.66
1,1,11,1.27
2,1,11,1.35
3,1,11,1.19
4,1,11,1.07
5,1,11,0.94
6,1,11,0.82
7,1,11,0.77
8,1,11,0.73
9,1,11,0.69
10,1,11,0.63
11,1,11,0.58
12,1,11,0.52
13,1,11,0.47
14,1,11,0.42
15,1,11,0.42
16,1,11,0.41
17,1,11,0.39
18,1,11,0.36
19,1,11,0.32
1,2,11,1
2,2,11,1.09
3,2,11,1
4,2,11,0.93
5,2,11,0.86
6,2,11,0.79
7,2,11,0.76
8,2,11,0.72
9,2,11,0.7
10,2,11,0.66
11,2,11,0.62
12,2,11,0.59
13,2,11,0.55
14,2,11,0.52
15,2,11,0.51
16,2,11,0.49
17,2,11,0.47
18,2,11,0.44
19,2,11,0.41
1,3,11,0.78
2,3,11,0.86
3,3,11,0.82
4,3,11,0.79
5,3,11,0.75
6,3,11,0.71
7,3,11,0.68
8,3,11,0.66
9,3,11,0.64
10,3,11,0.62
11,3,11,0.59
12,3,11,0.57
13,3,11,0.55
14,3,11,0.53
15,3,11,0.52
16,3,11,0.5
17,3,11,0.48
18,3,11,0.44
19,3,11,0.42
1,4,11,0.67
2,4,11,0.74
3,4,11,0.73
4,4,11,0.72
5,4,11,0.7
6,4,11,0.67
7,4,11,0.65
8,4,11,0.63
9,4,11,0.61
10,4,11,0.59
11,4,11,0.58
12,4,11,0.57
13,4,11,0.55
14,4,11,0.54
15,4,11,0.53
16,4,11,0.51
17,4,11,0.48
18,4,11,0.44
19,4,11,0.42
1,5,11,0.59
2,5,11,0.64
3,5,11,0.66
4,5,11,0.66
5,5,11,0.66
6,5,11,0.63
7,5,11,0.62
8,5,11,0.6
9,5,11,0.58
10,5,11,0.57
11,5,11,0.56
12,5,11,0.56
13,5,11,0.55
14,5,11,0.54
15,5,11,0.53
16,5,11,0.51
17,5,11,0.47
18,5,11,0.44
19,5,11,0.41
1,6,11,0.6
2,6,11,0.63
3,6,11,0.64
4,6,11,0.63
5,6,11,0.63
6,6,11,0.61
7,6,11,0.59
8,6,11,0.58
9,6,11,0.56
10,6,11,0.56
11,6,11,0.56
12,6,11,0.55
13,6,11,0.55
14,6,11,0.55
15,6,11,0.53
16,6,11,0.51
17,6,11,0.47
18,6,11,0.44
19,6,11,0.41
1,7,11,0.69
2,7,11,0.71
3,7,11,0.68
4,7,11,0.65
5,7,11,0.63
6,7,11,0.6
7,7,11,0.59
8,7,11,0.57
9,7,11,0.56
10,7,11,0.56
11,7,11,0.55
12,7,11,0.55
13,7,11,0.55
14,7,11,0.55
15,7,11,0.54
16,7,11,0.51
17,7,11,0.47
18,7,11,0.44
19,7,11,0.41
1,8,11,0.93
2,8,11,0.95
3,8,11,0.85
4,8,11,0.78
5,8,11,0.7
6,8,11,0.64
7,8,11,0.62
8,8,11,0.6
9,8,11,0.59
10,8,11,0.58
11,8,11,0.58
12,8,11,0.57
13,8,11,0.57
14,8,11,0.57
15,8,11,0.55
16,8,11,0.52
17,8,11,0.48
18,8,11,0.45
19,8,11,0.42
1,9,11,1.41
2,9,11,1.43
3,9,11,1.24
4,9,11,1.09
5,9,11,0.94
6,9,11,0.82
7,9,11,0.79
8,9,11,0.76
9,9,11,0.74
10,9,11,0.71
11,9,11,0.68
12,9,11,0.65
13,9,11,0.63
14,9,11,0.6
15,9,11,0.59
16,9,11,0.57
17,9,11,0.54
18,9,11,0.51
19,9,11,0.48
1,10,11,1.86
2,10,11,1.9
3,10,11,1.63
4,10,11,1.42
5,10,11,1.19
6,10,11,1.04
7,10,11,1
8,10,11,0.96
9,10,11,0.93
10,10,11,0.88
11,10,11,0.83
12,10,11,0.79
13,10,11,0.72
14,10,11,0.66
15,10,11,0.65
16,10,11,0.64
17,10,11,0.62
18,10,11,0.59
19,10,11,0.55
1,11,11,2.3
2,11,11,2.34
3,11,11,2
4,11,11,1.73
5,11,11,1.45
6,11,11,1.25
7,11,11,1.21
8,11,11,1.16
9,11,11,1.11
10,11,11,1.05
11,11,11,0.99
12,11,11,0.93
13,11,11,0.81
14,11,11,0.72
15,11,11,0.71
16,11,11,0.71
17,11,11,0.71
18,11,11,0.67
19,11,11,0.62
1,12,11,2.73
2,12,11,2.78
3,12,11,2.36
4,12,11,2.04
5,12,11,1.7
6,12,11,1.47
7,12,11,1.41
8,12,11,1.36
9,12,11,1.3
10,12,11,1.22
11,12,11,1.15
12,12,11,1.08
13,12,11,0.92
14,12,11,0.79
15,12,11,0.78
16,12,11,0.79
17,12,11,0.8
18,12,11,0.76
19,12,11,0.7
