Expiry,Strike,Maturity,Waarde
13,3,2,0.53
14,3,2,0.54
15,3,2,0.54
16,3,2,0.53
17,3,2,0.51
18,3,2,0.5
19,3,2,0.49
1,4,2,0.23
2,4,2,0.25
3,4,2,0.26
4,4,2,0.26
5,4,2,0.26
6,4,2,0.3
7,4,2,0.37
8,4,2,0.41
9,4,2,0.45
10,4,2,0.48
11,4,2,0.51
12,4,2,0.52
13,4,2,0.53
14,4,2,0.55
15,4,2,0.54
16,4,2,0.54
17,4,2,0.53
18,4,2,0.51
19,4,2,0.5
1,5,2,0.16
2,5,2,0.19
3,5,2,0.21
4,5,2,0.22
5,5,2,0.24
6,5,2,0.3
7,5,2,0.37
8,5,2,0.42
9,5,2,0.45
10,5,2,0.48
11,5,2,0.51
12,5,2,0.53
13,5,2,0.54
14,5,2,0.55
15,5,2,0.55
16,5,2,0.55
17,5,2,0.54
18,5,2,0.52
19,5,2,0.51
1,6,2,0.29
2,6,2,0.31
3,6,2,0.31
4,6,2,0.3
5,6,2,0.29
6,6,2,0.33
7,6,2,0.39
8,6,2,0.43
9,6,2,0.46
10,6,2,0.49
11,6,2,0.52
12,6,2,0.53
13,6,2,0.55
14,6,2,0.56
15,6,2,0.56
16,6,2,0.55
17,6,2,0.55
18,6,2,0.54
19,6,2,0.53
1,7,2,0.43
2,7,2,0.44
3,7,2,0.43
4,7,2,0.39
5,7,2,0.36
6,7,2,0.37
7,7,2,0.42
8,7,2,0.46
9,7,2,0.48
10,7,2,0.51
11,7,2,0.53
12,7,2,0.55
13,7,2,0.56
14,7,2,0.57
15,7,2,0.57
16,7,2,0.56
17,7,2,0.56
18,7,2,0.55
19,7,2,0.54
1,8,2,0.68
2,8,2,0.68
3,8,2,0.65
4,8,2,0.58
5,8,2,0.51
6,8,2,0.47
7,8,2,0.5
8,8,2,0.52
9,8,2,0.52
10,8,2,0.55
11,8,2,0.57
12,8,2,0.58
13,8,2,0.59
14,8,2,0.59
15,8,2,0.59
16,8,2,0.59
17,8,2,0.58
18,8,2,0.57
19,8,2,0.56
1,9,2,1.12
2,9,2,1.12
3,9,2,1.05
4,9,2,0.92
5,9,2,0.8
6,9,2,0.68
7,9,2,0.68
8,9,2,0.66
9,9,2,0.63
10,9,2,0.65
11,9,2,0.67
12,9,2,0.67
13,9,2,0.68
14,9,2,0.68
15,9,2,0.67
16,9,2,0.66
17,9,2,0.63
18,9,2,0.61
19,9,2,0.6
1,10,2,1.54
2,10,2,1.53
3,10,2,1.42
4,10,2,1.24
5,10,2,1.06
6,10,2,0.87
7,10,2,0.86
8,10,2,0.81
9,10,2,0.75
10,10,2,0.77
11,10,2,0.8
12,10,2,0.79
13,10,2,0.78
14,10,2,0.78
15,10,2,0.75
16,10,2,0.72
17,10,2,0.68
18,10,2,0.66
19,10,2,0.65
1,11,2,1.94
2,11,2,1.92
3,11,2,1.77
4,11,2,1.55
5,11,2,1.31
6,11,2,1.06
7,11,2,1.03
8,11,2,0.97
9,11,2,0.87
10,11,2,0.89
11,11,2,0.94
12,11,2,0.91
13,11,2,0.9
14,11,2,0.88
15,11,2,0.84
16,11,2,0.79
17,11,2,0.73
18,11,2,0.71
19,11,2,0.71
1,12,2,2.32
2,12,2,2.29
3,12,2,2.12
4,12,2,1.84
5,12,2,1.56
6,12,2,1.24
7,12,2,1.2
8,12,2,1.11
9,12,2,1
10,12,2,1.01
11,12,2,1.07
12,12,2,1.03
13,12,2,1.01
14,12,2,0.99
15,12,2,0.93
16,12,2,0.86
17,12,2,0.79
18,12,2,0.77
19,12,2,0.77
1,1,3,0.69
2,1,3,0.7
3,1,3,0.64
4,1,3,0.58
5,1,3,0.5
6,1,3,0.45
7,1,3,0.47
8,1,3,0.46
9,1,3,0.45
10,1,3,0.47
11,1,3,0.49
12,1,3,0.5
13,1,3,0.51
14,1,3,0.53
15,1,3,0.5
16,1,3,0.44
17,1,3,0.35
18,1,3,0.35
19,1,3,0.33
1,2,3,0.55
2,2,3,0.56
3,2,3,0.53
4,2,3,0.48
5,2,3,0.43
6,2,3,0.42
7,2,3,0.45
8,2,3,0.46
9,2,3,0.47
10,2,3,0.5
11,2,3,0.52
12,2,3,0.53
13,2,3,0.54
14,2,3,0.55
15,2,3,0.54
16,2,3,0.52
17,2,3,0.49
18,2,3,0.47
19,2,3,0.45
1,3,3,0.37
2,3,3,0.38
3,3,3,0.37
4,3,3,0.36
5,3,3,0.34
6,3,3,0.36
7,3,3,0.41
8,3,3,0.44
9,3,3,0.47
10,3,3,0.49
11,3,3,0.51
12,3,3,0.53
13,3,3,0.54
14,3,3,0.55
15,3,3,0.54
16,3,3,0.54
17,3,3,0.52
18,3,3,0.5
19,3,3,0.49
1,4,3,0.26
2,4,3,0.28
3,4,3,0.29
4,4,3,0.29
5,4,3,0.3
6,4,3,0.34
7,4,3,0.4
8,4,3,0.44
9,4,3,0.47
10,4,3,0.49
11,4,3,0.52
12,4,3,0.53
13,4,3,0.54
14,4,3,0.55
15,4,3,0.55
16,4,3,0.54
17,4,3,0.53
18,4,3,0.52
19,4,3,0.51
1,5,3,0.2
2,5,3,0.22
3,5,3,0.25
4,5,3,0.26
5,5,3,0.28
6,5,3,0.34
7,5,3,0.4
8,5,3,0.44
9,5,3,0.47
10,5,3,0.5
11,5,3,0.52
12,5,3,0.53
13,5,3,0.54
14,5,3,0.55
15,5,3,0.55
16,5,3,0.55
17,5,3,0.54
18,5,3,0.53
19,5,3,0.52
1,6,3,0.33
2,6,3,0.34
3,6,3,0.34
4,6,3,0.33
5,6,3,0.33
6,6,3,0.36
7,6,3,0.42
8,6,3,0.45
9,6,3,0.48
