Id,Id Scheme,Start Date,End Date,Fixed Rate
DE0001135275,OG,2005-01-28,2037-01-04,4
DE0001135325,OG,2007-01-26,2039-07-04,4.25
DE0001135366,OG,2008-07-25,2040-07-04,4.75
DE0001135408,OG,2010-04-30,2020-07-04,3
DE0001135424,OG,2010-11-26,2021-01-04,2.5
DE0001135432,OG,2010-07-23,2042-07-04,3.25
DE0001135440,OG,2011-04-29,2021-07-04,3.25
DE0001135465,OG,2011-11-25,2022-01-04,2
DE0001135481,OG,2012-04-27,2044-07-04,2.5
DE0001135499,OG,2012-09-07,2022-09-04,1.5
DE0001137859,OG,2020-02-12,2020-08-05,0
DE0001137867,OG,2020-03-04,2020-09-09,0
DE0001137875,OG,2020-04-08,2020-10-07,0
DE0001141729,OG,2015-07-03,2020-10-16,0.25
DE0001141802,OG,2019-07-05,2024-10-18,0
DE0001142032,OG,1997-07-04,2027-07-04,0
DE0001142057,OG,1998-01-23,2028-01-04,0
DE0001142131,OG,2000-01-21,2030-01-04,0
DE0001142214,OG,2003-01-31,2034-07-04,0
DE0001142263,OG,2005-01-04,2037-01-04,0
DE0001346955,OG,NULL,2026-10-28,0
DE0002760980,OG,2006-01-17,2021-07-04,3.5
DE0004778469,OG,1986-04-08,2021-04-08,0
DE000A0PM5F0,OG,2007-10-16,2023-01-04,4.625
DE000A0Z1TZ0,OG,2012-02-09,2022-02-09,2.5
DE000A0Z1UA1,OG,2014-04-24,2024-04-24,1.75
DE000A0Z1UB9,OG,2014-07-07,2021-06-22,0.6
DE000A11QR73,OG,2014-07-01,2074-07-01,3.75
DE000A11QTD2,OG,2015-01-15,2025-01-15,0.625
DE000A11QTG5,OG,2015-06-23,2022-07-04,0.625
DE000A12T3V4,OG,2017-07-25,2020-07-24,0
DE000A12T3X0,OG,2017-11-15,2021-11-15,0.05
DE000A13R7Z7,OG,2014-09-18,2099-12-31,3.375
DE000A13R9G3,OG,2015-11-05,2020-11-05,0.125
DE000A13R9J7,OG,2016-02-09,2021-11-09,0.05
DE000A13SMD9,OG,2019-02-25,2021-02-25,0.344
DE000A14J2Q6,OG,2015-04-29,2030-04-29,0.375
DE000A14J611,OG,NULL,2075-04-02,2.375
DE000A14J9N8,OG,2015-04-09,2045-07-07,2.241
DE000A161K82,OG,2016-02-03,2021-07-06,0.05
DE000A161WT4,OG,2015-09-21,2020-11-16,0
DE000A168Y55,OG,2016-03-09,2026-03-09,0.375
DE000A169G07,OG,2016-01-12,2021-01-12,0.875
DE000A169G15,OG,2016-01-12,2024-01-12,1.4
DE000A185QA5,OG,2016-09-07,2024-09-07,0.375
DE000A185QC1,OG,2016-09-07,2021-03-08,0
DE000A188WW1,OG,2016-11-10,2026-11-10,0.75
DE000A189ZX0,OG,2016-12-06,2024-12-06,1.25
DE000A190ND6,OG,2018-05-11,2022-05-11,0.25
DE000A190NE4,OG,NULL,2025-11-11,1
DE000A194DC1,OG,NULL,2021-08-09,0.25
DE000A194DD9,OG,2018-08-09,2024-04-09,0.875
DE000A194DE7,OG,2018-08-09,2027-02-09,1.5
DE000A19S4U8,OG,2017-12-06,2023-06-06,0.25
DE000A19S4V6,OG,2017-12-06,2027-12-06,0.875
DE000A19UR79,OG,2018-01-15,2028-01-14,1.5
DE000A19X8A4,OG,2018-03-22,2026-03-22,1.5
DE000A1ELUD7,OG,2011-06-15,2021-06-15,3.5
DE000A1GNAH1,OG,2011-03-08,2041-07-08,5.75
DE000A1K0FR4,OG,2011-08-17,2021-08-17,3.125
DE000A1K0SM8,OG,2011-09-08,2021-09-08,3
DE000A1K0UG6,OG,2012-01-17,2022-01-17,2.5
DE000A1KQ961,OG,2011-06-17,2021-06-17,3.375
DE000A1KRA18,OG,2011-08-23,2021-08-23,3
DE000A1PGNM9,OG,2012-08-30,2020-08-28,1.5
DE000A1PGZ58,OG,2012-06-13,2022-06-13,1.75
DE000A1R01Z7,OG,2013-01-31,2023-01-31,1.75
DE000A1R04X6,OG,2014-01-24,2022-01-24,2.25
DE000A1R07S9,OG,2013-09-03,2023-08-15,2.125
DE000A1RE1Q3,OG,2012-10-16,2042-10-17,5.625
DE000A1RQDC6,OG,2018-10-31,2021-06-10,0
DE000A1RQDG7,OG,2019-07-12,2022-01-12,0
DE000A1X28T1,OG,2014-07-07,2021-06-22,0.6
DE000A1X3MP3,OG,2013-10-11,2023-10-11,2.125
DE000A1YC3L3,OG,2014-01-29,2021-01-29,1.5
DE000A1YCQ29,OG,NULL,2099-12-31,4.75
DE000A1YCQA8,OG,2014-06-18,2021-06-18,1
DE000A1ZZ010,OG,2015-04-20,2022-04-20,0.625
DE000A1ZZ028,OG,2015-04-20,2027-04-20,1
DE000A254PH6,OG,2019-11-21,2022-11-21,1.455
DE000A254PM6,OG,2020-01-14,2025-02-18,0
DE000A254PP9,OG,2020-02-12,2027-03-31,0
DE000A289DC9,OG,2020-06-05,2027-06-05,0.25
DE000A289NX4,OG,2020-05-18,2025-09-18,0.625
DE000A289RN6,OG,NULL,2025-04-07,2.625
DE000A289XJ2,OG,2020-05-22,2026-08-22,2
DE000A28VQC4,OG,2020-04-07,2024-04-07,1.625
DE000A2DAC39,OG,2017-09-19,2020-09-18,0
DE000A2DADM7,OG,2017-02-28,2025-02-28,0.85
DE000A2DAHN6,OG,2017-01-13,2047-07-06,3.099
DE000A2DAJ57,OG,2017-07-04,2024-10-04,0.125
DE000A2DAR24,OG,NULL,2024-01-15,0.125
DE000A2E4D26,OG,2020-02-07,2022-02-07,0.703
DE000A2E4D67,OG,2018-03-22,2022-10-12,0.146
DE000A2GSCW3,OG,2017-07-03,2029-07-03,1.5
DE000A2GSFF1,OG,2017-07-07,2077-07-07,2.125
DE000A2GSKL9,OG,2017-10-25,2022-12-15,0
DE000A2GSNV2,OG,2018-03-21,2023-02-24,0.125
DE000A2GSNW0,OG,2018-04-25,2025-04-23,0.375
DE000A2LQHU0,OG,NULL,2021-05-25,0
DE000A2LQN61,OG,2019-08-15,2022-02-15,0.343
DE000A2LQSN2,OG,2019-01-15,2029-01-15,0.75
DE000A2LQSS1,OG,2019-03-19,2022-06-30,0
DE000A2LQZK3,OG,2018-06-14,2021-06-14,0
DE000A2NB9U4,OG,2019-08-28,2022-01-14,0.446
DE000A2R9ZU9,OG,2019-11-06,2027-05-06,0.625
DE000A2RWAX4,OG,2019-01-15,2026-01-15,0.875
DE000A2RYD83,OG,NULL,2023-02-27,0.625
DE000A2RYD91,OG,2019-02-27,2026-06-26,1.375
DE000A2TSDE2,OG,2019-03-25,2031-03-25,1.75
DE000A2TSTS8,OG,2019-06-13,2024-07-04,0
DE000A2TSTT6,OG,2019-07-26,2023-01-26,0
DE000A2YN041,OG,2020-01-22,2022-04-22,0.754
DE000CZ302M3,OG,2010-09-16,2020-09-16,4
DE000CZ40NG4,OG,2018-10-23,2023-10-23,1.25
DE000CZ40NM2,OG,2018-12-04,2021-12-06,0.5
DE000LFA1248,OG,2012-07-17,2021-07-02,1.8
DE000NRW0CN5,OG,2011-07-07,2021-07-07,3.5
DE000NRW1006,OG,2007-04-30,2022-04-29,4.375
DE000NRW21F1,OG,2013-01-15,2021-01-14,1.5
DE000NRW2228,OG,2013-11-26,2020-12-15,1.5
DE000NWB17V0,OG,2017-05-17,2021-05-17,0.488
DE000NWB18J3,OG,2018-08-02,2021-08-02,0
DE000RLP1122,OG,2019-04-25,2021-05-31,0
DE000RLP1163,OG,2020-01-15,2022-01-17,0
DE000SHFM519,OG,2016-03-03,2022-03-03,0.075
DK0009522732,OG,2019-03-28,2024-01-17,0.875
DK0009525404,OG,2019-09-04,2024-07-10,0.125
DK0009526998,OG,2020-01-20,2027-01-20,0.75
DK0009529901,OG,2020-06-11,2025-07-10,0.5
DK0030407986,OG,2017-11-28,2022-11-28,0.25
ES00000120N0,OG,2007-06-20,2040-07-30,4.9
ES00000121S7,OG,2009-09-28,2041-07-30,4.7
ES0000012411,OG,2001-01-23,2032-07-30,5.75
ES00000124H4,OG,2013-10-16,2044-10-31,5.15
ES00000127A2,OG,2015-03-04,2030-07-30,1.95
ES00000128C6,OG,2016-03-15,2046-10-31,2.9
ES00000128E2,OG,2016-05-18,2066-07-30,3.45
ES00000128Q6,OG,2017-03-01,2033-07-30,2.35
ES0000012932,OG,2005-01-17,2037-01-31,4.2
ES0000012B39,OG,2018-01-30,2028-04-30,1.4
ES0000012B47,OG,2018-02-27,2048-10-31,2.7
ES0000012B88,OG,2018-07-03,2028-07-30,1.4
ES0000012E69,OG,2019-03-05,2035-07-30,1.85
ES0000012F43,OG,2019-06-19,2029-10-31,0.6
ES0000012F76,OG,2020-01-21,2030-04-30,0.5
ES0000012G00,OG,2020-03-03,2050-10-31,1
ES0211845260,OG,2013-06-20,2023-06-20,3.75
ES0211845294,OG,2014-06-27,2025-02-27,2.5
ES0312342019,OG,2005-06-30,2025-06-30,3.75
ES0313307201,OG,2019-03-25,2024-03-25,0.875
ES0347784003,OG,2006-03-31,2021-03-31,4
ES0349045007,OG,2007-02-21,2022-02-21,4.5
ES0413307119,OG,2016-01-21,2021-01-21,0.875
ES0414970246,OG,2006-01-18,2021-01-18,3.625
ES0415306036,OG,2015-03-16,2022-03-16,0.5
EU000A18Z2D4,OG,2016-04-13,2031-04-04,0.75
EU000A19VVY6,OG,2018-02-06,2025-04-04,0.5
EU000A19XC51,OG,2018-03-06,2033-04-04,1.25
EU000A1G0BP2,OG,2014-04-15,2021-06-07,1.375
EU000A1G0DG7,OG,2016-01-19,2021-01-19,0.1
EU000A1G0DM5,OG,2017-02-28,2021-03-29,0
EU000A1G4DN5,OG,2012-05-04,2022-04-04,2.75
EU000A1G6TV9,OG,2012-07-03,2028-04-04,2.875
EU000A1GRVV3,OG,2011-05-31,2021-06-04,3.5
EU000A1GVJX6,OG,2011-09-21,2021-09-21,2.75
EU000A1GVVF8,OG,2011-09-29,2026-09-04,3
EU000A1HBXS7,OG,2012-10-30,2027-11-04,2.5
EU000A1U9803,OG,2013-11-20,2023-11-20,2.125
EU000A1U9811,OG,2014-03-04,2021-03-04,1.375
EU000A1U9985,OG,2016-10-18,2022-10-18,0
EU000A1Z6TV6,OG,2015-09-22,2035-10-04,1.5
EU000A1Z99G8,OG,2018-10-16,2022-01-17,0
EU000A1Z99K0,OG,2020-02-17,2023-02-10,0
EU000A28X702,OG,2020-06-10,2035-06-10,0.125
EU000A2SB9C6,OG,2020-01-23,2020-07-23,0
EU000A2SB9E2,OG,2020-02-20,2020-08-20,0
EU000A2SB9G7,OG,2020-03-19,2020-09-24,0
FI4000006176,OG,2009-10-19,2025-07-04,4
FI4000020961,OG,2011-02-22,2021-04-15,3.5
FI4000046545,OG,2012-07-03,2042-07-04,2.625
FI4000047089,OG,2012-09-04,2022-09-15,1.625
FI4000062625,OG,2013-04-16,2023-04-15,1.5
FI4000079041,OG,2014-02-04,2024-04-15,2
FI4000106117,OG,2014-09-03,2020-09-15,0.375
FI4000148630,OG,2015-03-10,2031-04-15,0.75
FI4000167317,OG,2015-09-01,2025-09-15,0.875
FI4000219787,OG,2016-09-07,2023-09-15,0
FI4000242862,OG,2017-02-15,2022-04-15,0
FI4000242870,OG,2017-02-15,2047-04-15,1.375
FI4000278551,OG,2017-09-06,2027-09-15,0.5
FI4000306758,OG,2018-02-13,2034-04-15,1.125
FI4000348727,OG,2018-09-04,2028-09-15,0.5
FI4000415153,OG,2020-02-11,2036-04-15,0.125
FI4000426051,OG,2020-03-26,2021-02-09,0
FI4000439534,OG,2020-05-06,2020-11-10,0
FI4000440557,OG,2020-06-17,2040-09-15,0.25
FR0000187635,OG,2001-06-12,2032-10-25,5.75
FR0000471930,OG,2003-01-28,2033-01-28,8.125
FR0000475758,OG,NULL,2023-06-24,5.75
FR0000571218,OG,1998-03-12,2029-04-25,5.5
FR0000578536,OG,2001-06-12,2032-10-25,0
FR0010033381,OG,NULL,2033-11-25,6.125
FR0010070060,OG,2004-04-06,2035-04-25,4.75
FR0010171975,OG,2005-02-28,2055-04-25,4
FR0010198036,OG,2005-05-27,2020-10-25,3.75
FR0010212977,OG,NULL,2025-08-08,0.925
FR0010289322,OG,2006-02-16,2026-02-16,1.455
FR0010327007,OG,2006-05-24,2021-05-24,5
FR0010347989,OG,2006-07-25,2021-10-25,4.375
FR0010371401,OG,2006-09-12,2038-10-25,4
FR0010491720,OG,2007-07-04,2022-07-04,5.625
FR0010773192,OG,2009-06-30,2041-04-25,4.5
FR0010800540,OG,2009-09-11,2024-09-11,4.625
FR0010809665,OG,2009-11-23,2055-04-25,0
FR0010810101,OG,2009-11-23,2038-10-25,0
FR0010870956,OG,2010-03-17,2060-04-25,4
FR0010915660,OG,2010-06-29,2021-04-25,3.375
FR0010916924,OG,2010-07-06,2026-04-25,3.5
FR0010918490,OG,NULL,2021-01-06,4.247
FR0010941484,OG,2010-09-14,2040-09-14,6
FR0010949651,OG,2010-10-12,2020-10-25,2.5
FR0011033851,OG,2011-04-07,2041-09-30,6.875
FR0011048966,OG,2011-05-17,2021-05-17,4.078
FR0011075043,OG,NULL,2021-07-07,4.339
FR0011196856,OG,2012-02-07,2022-04-25,3
FR0011225143,OG,2012-03-27,2027-03-25,4.125
FR0011317783,OG,2012-09-11,2027-10-25,2.75
FR0011332196,OG,2012-10-02,2023-01-16,3.625
FR0011337880,OG,2012-10-09,2022-10-25,2.25
FR0011461037,OG,2013-04-04,2045-05-25,3.25
FR0011486067,OG,2013-05-07,2023-05-25,1.75
FR0011531730,OG,2013-07-10,2099-12-31,4.75
FR0011565555,OG,2013-09-12,2023-09-12,2.875
FR0011625433,OG,2013-11-14,2023-11-14,2.5
FR0011637586,OG,2013-11-27,2021-04-27,2.25
FR0011755156,OG,NULL,2024-05-25,2.375
FR0011781764,OG,2014-03-17,2021-03-17,2.125
FR0011847425,OG,2014-04-16,2021-04-16,1.5
FR0011883966,OG,2014-05-06,2030-05-25,2.5
FR0011952647,OG,2014-07-25,2026-06-25,0
FR0011962398,OG,2014-06-10,2024-11-25,1.75
FR0012018851,OG,2014-07-08,2026-07-08,2.75
FR0012143451,OG,2014-09-05,2022-10-25,0.875
FR0012199065,OG,2014-10-08,2024-10-08,1.625
FR0012300812,OG,2014-11-17,2025-01-15,1.875
FR0012300820,OG,2014-11-17,2021-01-15,1.125
FR0012317758,OG,NULL,2099-12-31,4
FR0012452191,OG,NULL,2025-01-20,1.5
FR0012537124,OG,NULL,2025-02-17,0.625
FR0012601367,OG,2015-03-11,2025-03-11,0.875
FR0012648590,OG,NULL,2099-12-31,2.5
FR0012663169,OG,2015-04-09,2028-01-10,1.59
FR0012685691,OG,2015-04-23,2027-04-23,0.625
FR0012759744,OG,2015-06-08,2022-06-08,1.25
FR0012872182,OG,2015-07-31,2020-07-31,0.375
FR0012939841,OG,2015-09-08,2023-09-08,1.5
FR0012949923,OG,2015-09-10,2025-09-10,1.75
FR0012968337,OG,2015-09-21,2020-11-25,0.25
FR0012993103,OG,2015-10-05,2031-05-25,1.5
FR0013020450,OG,2015-10-21,2027-10-21,1.25
FR0013044278,OG,2015-11-06,2024-01-15,1.5
FR0013044294,OG,2015-11-04,2021-11-04,0.3
FR0013054897,OG,2015-11-18,2031-05-25,1.75
FR0013060209,OG,2015-11-27,2025-11-27,1.625
FR0013063385,OG,2015-11-30,2027-11-30,2.75
FR0013066388,OG,2015-12-10,2047-06-10,4.5
FR0013128584,OG,2016-03-03,2026-03-03,0.625
FR0013144003,OG,2016-04-05,2028-04-05,1.125
FR0013144052,OG,2016-04-06,2032-01-12,1.25
FR0013152899,OG,2016-04-18,2026-10-19,1
FR0013152907,OG,2016-04-18,2036-04-18,2
FR0013154028,OG,2016-04-19,2066-05-25,1.75
FR0013154044,OG,2016-04-19,2036-05-25,1.25
FR0013155009,OG,NULL,2026-04-22,2.875
FR0013169778,OG,NULL,2023-05-17,1
FR0013173432,OG,2016-05-19,2028-05-19,1.25
FR0013182078,OG,2016-06-10,2026-01-09,1.125
FR0013183167,OG,2016-06-14,2025-06-14,0.5
FR0013200813,OG,2016-09-05,2026-11-25,0.25
FR0013201126,OG,2016-09-09,2025-02-07,0.375
FR0013210416,OG,2016-10-04,2029-01-04,0.927
FR0013213295,OG,2016-10-13,2026-10-13,1
FR0013217114,OG,2016-11-03,2027-02-03,0.875
FR0013218138,OG,2016-11-09,2021-11-09,0.5
FR0013219177,OG,2016-11-21,2022-05-25,0
FR0013222494,OG,2016-12-07,2027-06-07,1.375
FR0013230737,OG,2017-01-12,2022-01-12,0.75
FR0013231099,OG,2017-01-18,2027-01-18,1.25
FR0013231743,OG,NULL,2023-01-18,1.125
FR0013234333,OG,2017-01-31,2039-06-25,1.75
FR0013241361,OG,2017-03-08,2024-03-08,1.375
FR0013241536,OG,2017-03-09,2023-09-11,0.75
FR0013241676,OG,2017-03-09,2027-09-09,1.5
FR0013250560,OG,2017-04-10,2027-05-25,1
FR0013250693,OG,2017-04-12,2025-04-11,1.625
